Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,GOOG,GOOG,GOOG,GOOG,GOOG,,,
2022-05-31,2022,5,31,Tuesday,22,2022-22,112.09,115.42,111.59,113.04,51302000,0.010993016515146392,110.89071428571428,123.35040000000001
2022-06-01,2022,6,1,Wednesday,22,2022-22,113.93,116.37,112.56,113.14,28630000,0.0008593689574039054,110.90285714285713,122.90740000000001
2022-06-02,2022,6,2,Thursday,22,2022-22,113.19,116.87,112.32,116.72,27472000,0.03161991713903278,111.22785714285715,122.4608
2022-06-03,2022,6,3,Friday,22,2022-22,114.98,115.35,112.67,113.56,25052000,-0.027024267494922927,111.08928571428571,121.98620000000001
2022-06-06,2022,6,6,Monday,23,2022-23,115.72,118.35,115.51,115.99,23786000,0.021354798669094066,111.24642857142858,121.5044
2022-06-07,2022,6,7,Tuesday,23,2022-23,114.64,116.72,114.12,116.2,26414000,0.0018716993662073467,111.28357142857143,121.02279999999999
2022-06-08,2022,6,8,Wednesday,23,2022-23,115.86,117.61,115.68,116.21,22544000,7.235140829520148e-05,111.62571428571428,120.5328
2022-06-09,2022,6,9,Thursday,23,2022-23,115.32,117.32,113.86,113.91,23142000,-0.019788779371020304,111.92071428571428,119.97099999999999
2022-06-10,2022,6,10,Friday,23,2022-23,111.8,112.51,109.89,110.45,31324000,-0.030373741953761635,112.07000000000001,119.352
2022-06-13,2022,6,13,Monday,24,2022-24,106.51,108.26,105.66,105.94,36756000,-0.04084267163478372,111.73071428571428,118.70219999999999
2022-06-14,2022,6,14,Tuesday,24,2022-24,105.96,107.51,105.42,106.26,25480000,0.002970455033843855,111.82071428571429,118.03800000000001
2022-06-15,2022,6,15,Wednesday,24,2022-24,107.95,111.08,107.17,109.43,33192000,0.02981998854626622,112.14357142857143,117.3788
2022-06-16,2022,6,16,Thursday,24,2022-24,107.2,108.34,104.87,105.7,35314000,-0.034011081216587025,112.0257142857143,116.6962
2022-06-17,2022,6,17,Friday,24,2022-24,105.6,108.29,104.71,106.92,43516000,0.011529977971596939,111.67642857142857,116.115
2022-06-21,2022,6,21,Tuesday,25,2022-25,108.74,111.69,108.34,111.04,39010000,0.038469063588464136,111.53357142857142,115.63040000000001
2022-06-22,2022,6,22,Wednesday,25,2022-25,110.19,112.78,109.76,111.05,23922000,0.0001695787068509702,111.38428571428572,115.1946
2022-06-23,2022,6,23,Thursday,25,2022-25,111.96,112.21,110.06,111.7,24710000,0.005806330258854908,111.0257142857143,114.8554
2022-06-24,2022,6,24,Friday,25,2022-25,112.61,117.6,112.61,117.5,39122000,0.05194587690479291,111.30714285714286,114.66040000000001
2022-06-27,2022,6,27,Monday,26,2022-26,117.9,118.21,114.99,115.6,32840000,-0.016159364995924963,111.27928571428572,114.38940000000001
2022-06-28,2022,6,28,Tuesday,26,2022-26,115.33,116.83,111.46,111.59,28232000,-0.03473599804650762,110.95,114.0984
2022-06-29,2022,6,29,Wednesday,26,2022-26,111.17,112.67,110.58,111.28,18628000,-0.0027982325743070025,110.59785714285714,113.7872
2022-06-30,2022,6,30,Thursday,26,2022-26,109.53,110.36,106.37,108.42,38046000,-0.025691029284630407,110.2057142857143,113.36779999999999
2022-07-01,2022,7,1,Friday,26,2022-26,107.39,108.85,106.17,108.13,31028000,-0.0026653042827481377,110.04,112.988
2022-07-05,2022,7,5,Tuesday,27,2022-27,106.57,113.06,105.32,112.89,36398000,0.04405902694723807,110.53642857142857,112.76880000000001
2022-07-06,2022,7,6,Wednesday,27,2022-27,113.09,115.34,111.27,114.21,28852000,0.011647613286452474,111.10428571428572,112.6816
2022-07-07,2022,7,7,Thursday,27,2022-27,114.99,118.81,114.52,118.26,32184000,0.03552086585826464,111.735,112.60340000000001
2022-07-08,2022,7,8,Friday,27,2022-27,116.52,119.38,116.49,119.12,29082000,0.00722920728768095,112.69357142857143,112.6166
2022-07-11,2022,7,11,Monday,28,2022-28,117.61,117.76,115.22,115.5,26718000,-0.030340673594709267,113.30642857142857,112.64620000000001
2022-07-12,2022,7,12,Tuesday,28,2022-28,115.82,116.82,113.61,113.85,24970000,-0.01435774319873695,113.50714285714287,112.5558
2022-07-13,2022,7,13,Wednesday,28,2022-28,111.65,114.15,110.85,111.21,38958000,-0.02318249777677106,113.51857142857143,112.5008
2022-07-14,2022,7,14,Thursday,28,2022-28,109.86,111.01,108.37,110.47,32366000,-0.006658520432920811,113.43071428571429,112.3876
2022-07-15,2022,7,15,Friday,28,2022-28,111.98,113.0,110.85,111.78,34330000,0.011907792565318376,113.02214285714287,112.28119999999998
2022-07-18,2022,7,18,Monday,29,2022-29,112.45,113.8,108.34,108.95,33354000,-0.02533536171479367,112.54714285714284,112.03019999999998
2022-07-19,2022,7,19,Tuesday,29,2022-29,110.75,113.81,109.53,113.62,30992300,0.04285312131045593,112.69214285714285,111.988
2022-07-20,2022,7,20,Wednesday,29,2022-29,113.06,115.31,112.27,113.7,26780100,0.0006979505743016645,112.86500000000001,111.96900000000001
2022-07-21,2022,7,21,Thursday,29,2022-29,114.08,114.2,110.93,114.03,27267800,0.0029643217147972134,113.26571428571428,112.0076
2022-07-22,2022,7,22,Friday,29,2022-29,110.83,112.19,106.66,107.41,44455300,-0.05806683489953868,113.21428571428571,111.8842
2022-07-25,2022,7,25,Monday,30,2022-30,107.93,109.61,106.07,107.26,28289900,-0.001384205735248445,112.81214285714286,111.77
2022-07-26,2022,7,26,Tuesday,30,2022-30,106.49,106.8,103.84,104.52,36626600,-0.025598420523745613,112.12,111.61699999999999
2022-07-27,2022,7,27,Wednesday,30,2022-30,108.64,113.4,107.47,112.61,41474600,0.07739005815344235,111.71642857142857,111.5592
2022-07-28,2022,7,28,Thursday,30,2022-30,111.81,113.7,110.87,113.59,23303800,0.008714706475384748,111.32142857142857,111.5552
2022-07-29,2022,7,29,Friday,30,2022-30,112.41,115.88,112.24,115.62,31336200,0.017889850764433834,111.33,111.554
2022-08-01,2022,8,1,Monday,31,2022-31,114.52,116.1,113.69,114.47,22856200,-0.009945018097777814,111.37428571428572,111.615
2022-08-02,2022,8,2,Tuesday,31,2022-31,113.43,116.06,113.26,114.89,17911000,0.0036369852925004498,111.63714285714285,111.71719999999999
2022-08-03,2022,8,3,Wednesday,31,2022-31,115.32,118.38,115.13,117.74,25302800,0.02484892398495231,112.15642857142856,111.9048
2022-08-04,2022,8,4,Thursday,31,2022-31,117.27,118.46,116.68,117.83,15757700,0.0007577433477792272,112.58857142857143,112.04759999999999
2022-08-05,2022,8,5,Friday,31,2022-31,115.91,117.82,115.69,117.19,15615700,-0.005468145005684932,113.17714285714284,112.2914
2022-08-08,2022,8,8,Monday,32,2022-32,118.08,119.8,116.8,117.11,17061100,-0.0006766967614649788,113.42642857142857,112.5354
2022-08-09,2022,8,9,Tuesday,32,2022-32,116.96,117.17,115.54,116.47,15424300,-0.005417239920430084,113.62428571428572,112.71780000000001
2022-08-10,2022,8,10,Wednesday,32,2022-32,118.54,120.72,118.32,119.6,20497000,0.026808482597229233,114.02214285714285,112.87360000000001
2022-08-11,2022,8,11,Thursday,32,2022-32,121.01,121.27,118.51,118.77,16671600,-0.00687940452792013,114.83357142857142,112.98819999999999
2022-08-12,2022,8,12,Friday,32,2022-32,120.1,121.58,119.35,121.58,16121100,0.023618765179979517,115.85642857142855,113.15699999999998
2022-08-15,2022,8,15,Monday,33,2022-33,121.14,122.18,120.51,121.81,15525000,0.001875186337307655,117.09142857142857,113.25880000000001
2022-08-16,2022,8,16,Tuesday,33,2022-33,121.25,122.15,120.47,121.44,15626200,-0.0030110179128381986,117.72214285714287,113.4164
2022-08-17,2022,8,17,Wednesday,33,2022-33,119.87,121.08,119.15,119.27,17589200,-0.017876029548491656,118.12785714285714,113.48200000000001
2022-08-18,2022,8,18,Thursday,33,2022-33,119.18,120.63,118.51,119.8,15652000,0.004488012509631156,118.42642857142857,113.554
2022-08-19,2022,8,19,Friday,33,2022-33,118.82,118.95,116.64,117.09,20187000,-0.022670886265384493,118.61357142857142,113.5716
2022-08-22,2022,8,22,Monday,34,2022-34,115.09,115.48,113.67,114.06,19316000,-0.025821279011366216,118.55428571428571,113.5746
2022-08-23,2022,8,23,Tuesday,34,2022-34,113.32,114.92,113.3,113.77,14390700,-0.002607045759047466,118.27071428571428,113.64099999999999
2022-08-24,2022,8,24,Wednesday,34,2022-34,113.45,114.71,112.79,113.7,16051200,-0.0006099923670480623,117.97571428571428,113.79620000000001
2022-08-25,2022,8,25,Thursday,34,2022-34,114.14,116.75,114.04,116.67,14874700,0.026155294329848866,117.93857142857144,114.00439999999999
